id ra dec mag_F160W weight logmass z_phot z_spec
19098 150.1415146309522 2.373194309172002 24.40291024772163 14 10.284317133292957 3.2465593934979795 2.461
19307 150.08672731011066 2.3749706548519858 25.326052165751538 6 9.298414624361532 3.3464401482265584 3.418
19342 150.1319975265803 2.375729231836273 23.317037258573308 6 10.042027532915276 2.9875783180766398 2.991
19393 150.1385831981727 2.3758514825248627 24.821395076804592 13 10.425152338251335 2.5206590075730335 2.637
19563 150.14516510118972 2.378198107096759 22.90558538970859 4 10.087210303946435 1.9452916181750248 2.01
19572 150.13319598810708 2.378720975993854 22.264700381326094 18 11.035393553376704 2.0686946939504938 1.868
19681 150.14284949412243 2.3789638410407705 24.035340660792986 2 9.579005994272585 1.8408928662754533 1.80302
19705 150.10775169945367 2.37948364513744 23.367134483942877 32 10.929193332520786 2.338033309246502 2.465
19712 150.10678653741022 2.3797237883250015 23.80038357618412 7 10.031544020582093 2.4115666623538554 2.487
19788 150.0853430753698 2.380157892683075 24.32676122734118 10 10.151321355960313 3.2499326506102424 2.273
19891 150.08622497459544 2.3814118902921213 23.707430770568983 17 10.528634277457433 2.325367096496981 2.468
19952 150.08511404986172 2.381944098977842 24.228844557673643 10 10.418353647380535 2.1667900238834816 2.47
20195 150.09091187 2.38410997 25.20112705721918 14 10.245565196742668 3.2718557599330476 nan
20238 150.10282141642736 2.3845070921412934 25.334739678442602 41 10.891461330556453 3.015416821499899 2.486
20332 150.09374208733138 2.3857948494880934 24.127018491447675 36 10.629575045106044 3.3682446639275585 1.709925
20388 150.08815743372955 2.386130294452831 26.18270028192249 3 8.958562912226753 2.3259112259887784 3.538662
20397 150.100225763686 2.386264742307609 24.56443023013032 24 10.779404141195002 2.453241603519016 2.469203
20472 150.12520839609886 2.387175650382505 25.21154988467321 2 9.474519519529403 2.6051415921240904 2.303
20693 150.0856344780626 2.3896249998644232 25.244678797080393 3 9.600791203664052 2.630935892545232 nan
20720 150.08798218 2.38989186 23.509862940812738 15 10.956450232854124 3.490679852291115 nan
20852 150.1166327691035 2.3911753552488064 25.84823677369479 7 9.24802001856017 2.9597430543189227 2.914
21165 150.08799820699522 2.3950731523853683 23.872619529082073 33 10.827068163435056 3.0864112317399246 3.534
21178 150.12831781990496 2.395216774353047 24.290058000081082 1 9.651822779323808 1.905156941475541 1.925
21213 150.13177809219525 2.3954808085843617 24.00961369997374 2 9.783086952040504 1.9415068934879252 2.007
21218 150.09639973421787 2.3951214528254727 25.43420725662849 2 9.131293895821958 2.291543094105402 2.477
21424 150.09175895916385 2.397777961523673 23.431193898281446 9 10.466204665080792 1.722809017636645 1.869
21451 150.13523387925787 2.397814965640733 24.61100031319208 1 9.285416429120467 1.7438545520856363 1.749
21452 150.09282436776047 2.398349301358718 23.071390697378703 7 10.221031045338718 1.7029040281549532 1.867
21472 150.08774574049212 2.3976750795709307 25.477068207060604 6 9.707832369221238 3.3780132583951126 nan
21477 150.09228594718863 2.398916842060611 22.57345182237162 25 10.80323544935499 2.4249997636729255 2.472
21541 150.09333975851828 2.3986327972768606 22.9570474728433 30 10.86851429984046 2.5310368371248524 2.476
21547 150.0939708227204 2.39836278234628 25.432687033047678 1 8.826751192853706 1.9589983146150185 1.865
22199 150.11906808533342 2.4050054186455245 25.310330837418654 22 10.535022412904516 2.6460757564815913 2.515
22606 150.11489489203726 2.4094520985867796 25.653949861419687 8 9.500497914850133 3.4562619843105957 3.04
22758 150.1316671960658 2.4109592137664655 25.449685262823383 6 9.400630878335585 3.250439478810036 3.188378
22940 150.1272072504213 2.412992801802825 25.243917092453877 1 8.898484593129703 2.0701559969348966 2.009
22990 150.13025643303584 2.4135323735628256 24.59085047093587 2 9.01656732431487 2.4247636897873273 nan
